"Source:","C:\Users\joshm\OneDrive\Documents\KiCad\VCD\VCD.sch"
"Date:","12/10/2023 12:55:23 PM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","43"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"7","1","D1","D","Device:D","Diode_SMD:D_SOD-323_HandSoldering","~"
"8","2","D2, D3","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"9","1","IN1","IN","Connector:AudioJack2","Thonk Jacks:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical","~"
"10","2","J1, J3","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"11","2","J2, J5","Conn_01x07_Female","Connector:Conn_01x07_Female","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"12","1","J4","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"13","1","LVL1","A100k","Device:R_POT","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~"
"14","1","OUT1","OUT","Connector:AudioJack2","Thonk Jacks:Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical","~"
"15","1","Q1","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
"16","2","R1, R15","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"17","4","R2, R3, R9, R16","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"18","1","R4","120k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"19","2","R5, R6","300k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"20","1","R7","33k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"21","1","R8","15k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"22","1","R10","6k8","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"23","2","R11, R14","470k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"24","2","R12, R13","47k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"25","1","R17","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"26","1","U1","LM13700","Amplifier_Operational:LM13700","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm13700.pdf"
"27","1","U2","TL074","Amplifier_Operational:TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
